Name,Event,Mode,TP,FP,FN,TN
1_096_1,a video of a person running,3,0,0,0,0
4_080_1,a video of a person running,3,0,0,0,0
D014_02,a video of a person running,3,0,0,0,0
1_070_1,a video of a person running,3,0,0,0,0
4_078_1,a video of a person running,3,0,0,0,0
000304,a video of a person running,3,0,0,0,0
000288,a video of a person running,3,0,0,0,0
4_104_1,a video of a person running,3,0,0,0,0
000228,a video of a person running,3,0,0,0,0
D158_02,a video of a person running,3,0,0,0,0
2_073_1,a video of a person running,3,0,0,0,0
000234,a video of a person running,3,0,0,0,0
4_112_1,a video of a person running,3,0,0,0,0
2_095_1,a video of a person running,3,0,0,0,0
D001_04,a video of a person running,3,0,0,0,0
3_077_1,a video of a person running,3,0,0,0,0
D031_09,a video of a person running,3,0,0,0,0
2_064_1,a video of a person running,3,0,0,0,0
000260,a video of a person running,3,0,0,0,0
1_079_1,a video of a person running,3,0,0,0,0
4_102_1,a video of a person running,3,0,0,0,0
D014_01,a video of a person running,3,0,0,0,0
3_103_1,a video of a person running,3,0,0,0,0
000224,a video of a person running,3,0,0,0,0
3_097_1,a video of a person running,3,0,0,0,0
000282,a video of a person running,3,0,0,0,0
000259,a video of a person running,3,0,0,0,0
1_095_1,a video of a person running,3,0,0,0,0
3_087_1,a video of a person running,3,0,0,0,0
4_113_1,a video of a person running,3,0,0,0,0
000262,a video of a person running,3,0,0,0,0
000250,a video of a person running,3,0,0,0,0
3_075_1,a video of a person running,3,0,0,0,0
4_100_1,a video of a person running,3,0,0,0,0
4_089_1,a video of a person lying in the floor,3,0,0,0,0
2_080_1,a video of a person lying in the floor,3,0,0,0,0
3_092_1,a video of a person lying in the floor,3,0,0,0,0
1_091_1,a video of a person lying in the floor,3,0,0,0,0
3_099_1,a video of a person lying in the floor,3,0,0,0,0
1_078_1,a video of a person lying in the floor,3,0,0,0,0
4_094_1,a video of a person lying in the floor,3,0,0,0,0
3_086_1,a video of a person lying in the floor,3,0,0,0,0
1_084_1,a video of a person lying in the floor,3,0,0,0,0
2_069_1,a video of a person chasing other person,3,0,0,0,0
000214,a video of a person chasing other person,3,0,0,0,0
1_082_1,a video of a person chasing other person,3,0,0,0,0
3_093_1,a video of a person chasing other person,3,0,0,0,0
2_071_1,a video of a person chasing other person,3,0,0,0,0
3_080_1,a video of a person chasing other person,3,0,0,0,0
4_101_1,a video of a person chasing other person,3,0,0,0,0
4_108_1,a video of a person chasing other person,3,0,0,0,0
4_107_1,a video of a person chasing other person,3,0,0,0,0
000312,a video of a person chasing other person,3,0,0,0,0
4_114_1,a video of a person chasing other person,3,0,0,0,0
000235,a video of a person chasing other person,3,0,0,0,0
3_096_1,a video of a person chasing other person,3,0,0,0,0
1_073_1,a video of a person chasing other person,3,0,0,0,0
000307,a video of a person chasing other person,3,0,0,0,0
3_091_1,a video of a person chasing other person,3,0,0,0,0
000264,a video of a person chasing other person,3,0,0,0,0
4_083_1,a video of a person chasing other person,3,0,0,0,0
2_078_1,a video of a person chasing other person,3,0,0,0,0
2_077_1,a video of a person chasing other person,3,0,0,0,0
1_087_1,a video of a person chasing other person,3,0,0,0,0
000351,a video of a person chasing other person,3,0,0,0,0
000311,a video of a person chasing other person,3,0,0,0,0
D076_03,a video of a person chasing other person,3,0,0,0,0
000305,a video of a person chasing other person,3,0,0,0,0
000316,a video of a person chasing other person,3,0,0,0,0
2_088_1,a video of a person chasing other person,3,0,0,0,0
000212,a video of a person chasing other person,3,0,0,0,0
000231,a video of a person chasing other person,3,0,0,0,0
000356,a video of a person chasing other person,3,0,0,0,0
000257,a video of a person chasing other person,3,0,0,0,0
1_085_1,a video of a person chasing other person,3,0,0,0,0
2_083_1,a video of a person chasing other person,3,0,0,0,0
000281,a video of a person chasing other person,3,0,0,0,0
D036_07,a video of a person jumping,3,0,0,0,0
21,a video of a person jumping,3,0,0,0,0
1_092_1,a video of a person jumping,3,0,0,0,0
2_089_1,a video of a person jumping,3,0,0,0,0
07,a video of a person jumping,3,0,0,0,0
3_100_1,a video of a person jumping,3,0,0,0,0
08,a video of a person jumping,3,0,0,0,0
4_089_1,a video of a person falling,3,0,0,0,0
2_080_1,a video of a person falling,3,0,0,0,0
1_090_1,a video of a person falling,3,0,0,0,0
1_078_1,a video of a person falling,3,0,0,0,0
3_086_1,a video of a person falling,3,0,0,0,0
2_074_1,a video of a person falling,3,0,0,0,0
1_084_1,a video of a person falling,3,0,0,0,0
4_106_1,a video of a person guiding other person,3,0,0,0,0
D158_17,a video of a person guiding other person,3,0,0,0,0
3_098_1,a video of a person guiding other person,3,0,0,0,0
4_097_1,a video of a person guiding other person,3,0,0,0,0
1_089_1,a video of a person guiding other person,3,0,0,0,0
2_087_1,a video of a person guiding other person,3,0,0,0,0
4_095_1,a video of a person stealing other person,3,0,0,0,0
1_082_1,a video of a person stealing other person,3,0,0,0,0
4_084_1,a video of a person stealing other person,3,0,0,0,0
2_071_1,a video of a person stealing other person,3,0,0,0,0
3_080_1,a video of a person stealing other person,3,0,0,0,0
4_108_1,a video of a person stealing other person,3,0,0,0,0
3_081_1,a video of a person stealing other person,3,0,0,0,0
D077_01,a video of a person stealing other person,3,0,0,0,0
3_091_1,a video of a person stealing other person,3,0,0,0,0
4_083_1,a video of a person stealing other person,3,0,0,0,0
