Name,Event,Mode,TP,FP,FN,TN
2_083_1,a video of a person chasing other person,2,0,0,0,0
000281,a video of a person chasing other person,2,0,0,0,0
D036_07,a video of a person jumping,2,0,0,0,0
21,a video of a person jumping,2,0,0,0,0
1_092_1,a video of a person jumping,2,0,0,0,0
2_089_1,a video of a person jumping,2,0,0,0,0
07,a video of a person jumping,2,0,0,0,0
3_100_1,a video of a person jumping,2,0,0,0,0
08,a video of a person jumping,2,0,0,0,0
4_089_1,a video of a person falling,2,0,0,0,20
2_080_1,a video of a person falling,2,1,0,0,16
1_090_1,a video of a person falling,2,0,0,0,0
1_078_1,a video of a person falling,2,8,0,0,21
3_086_1,a video of a person falling,2,24,0,0,42
2_074_1,a video of a person falling,2,0,0,0,13
1_084_1,a video of a person falling,2,0,0,0,0
4_106_1,a video of a person guiding other person,2,0,0,0,7
D158_17,a video of a person guiding other person,2,0,0,0,0
3_098_1,a video of a person guiding other person,2,1,0,0,14
4_097_1,a video of a person guiding other person,2,0,0,0,1
1_089_1,a video of a person guiding other person,2,33,0,0,0
2_087_1,a video of a person guiding other person,2,0,0,0,11
4_095_1,a video of a person stealing other person,2,0,0,0,0
1_082_1,a video of a person stealing other person,2,0,0,0,0
4_084_1,a video of a person stealing other person,2,0,0,0,0
2_071_1,a video of a person stealing other person,2,0,0,0,0
3_080_1,a video of a person stealing other person,2,0,0,0,0
4_108_1,a video of a person stealing other person,2,0,0,0,0
3_081_1,a video of a person stealing other person,2,0,0,0,0
D077_01,a video of a person stealing other person,2,0,0,0,0
3_091_1,a video of a person stealing other person,2,0,0,0,0
4_083_1,a video of a person stealing other person,2,0,0,0,0
2_078_1,a video of a person stealing other person,2,0,0,0,0
D068_10,a video of a person stealing other person,2,0,0,0,0
D158_01,a video of a person stealing other person,2,0,0,0,0
2_070_1,a video of a person stealing other person,2,0,0,0,0
D077_03,a video of a person stealing other person,2,0,0,0,0
3_088_1,a video of a person throwing trash in the floor,2,0,0,0,0
20,a video of a person throwing trash in the floor,2,18,6,0,11
13,a video of a person throwing trash in the floor,2,1,7,0,8
1_080_1,a video of a person throwing trash in the floor,2,0,0,0,3
